t,LEAD1/LA,LEAD2/LL,LEAD3/RA,V1'/V1,V2'/V2,PACE,RESPPM,RESPPH,LOFF,GPIO,CRC
206,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
207,428b1b8a,e04eb1bf,000000c0,02000000,02c4f82f,c21ced5f,e211b47f,,8277ff86,,
208,5d8a4ad0,be8a004c,000d55cc,00580000,ff080000,3f0980f7,be0948b4,,5c8aa3d0,,
209,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
210,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
211,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
212,5051fea3,081308ac,000000d0,000000d8,050000e8,00000080,50cffe8b,,0032df97,,
213,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
214,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
215,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
216,8c76ea51,e8a32556,00000068,0000006c,02000074,000000d0,e82c0046,,00a4fd4b,,
217,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
218,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
219,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
220,74e1f851,34c82556,00000068,0000006c,02000074,000000c0,54a6ff45,,f076ff4b,,
221,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
222,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
223,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
224,80090052,603b0b56,00000068,0000006c,02000074,000000c0,802c0246,,a47df84b,,
225,00040000,8c000000,97086c04,9f7866f7,a26099e9,af70ca31,d060cde8,,d8000000,,
226,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
227,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
228,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
229,c55efb1f,06924060,06000080,070000c0,2c000040,04000000,8437e15f,,04b1d9bf,,
230,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
231,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
